ticker,name,sector,industry,pe_ratio,dividend_yield,market_cap,book_value,52_week_high,52_week_low,current_price,last_updated
GRASIM.NS,Grasim Industries Limited,Basic Materials,Building Materials,43.103718,0.36,1864263925760,1468.673,2977.8,2276.95,2747.0,2025-12-07 16:16:13
BRITANNIA.NS,Britannia Industries Limited,Consumer Defensive,Packaged Foods,62.11316,1.26,1436211347456,154.997,6336.0,4506.0,5961.0,2025-12-07 16:16:00
TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,84.759476,0.71,1150888574976,205.423,1202.8,882.9,1162.9,2025-12-07 16:17:00
INDUSINDBK.NS,IndusInd Bank Limited,Financial Services,Banks - Regional,9.009111,1.92,677873975296,835.417,1086.55,606.0,870.1,2025-12-07 16:16:28
BANDHANBNK.NS,Bandhan Bank Limited,Financial Services,Banks - Regional,18.383204,1.07,225929199616,153.395,192.48,128.16,140.08,2025-12-07 16:15:52
FEDERALBNK.NS,The Federal Bank Limited,Financial Services,Banks - Regional,16.230433,0.46,637307060224,147.705,262.0,172.66,259.2,2025-12-07 16:16:12
IDFCFIRSTB.NS,IDFC First Bank Limited,Financial Services,Banks - Regional,44.191257,0.31,694923362304,46.849,82.7,52.46,80.87,2025-12-07 16:16:24
BANKBARODA.NS,Bank of Baroda Limited,Financial Services,Banks - Regional,7.867707,2.85,1513491791872,307.356,303.95,190.7,292.6,2025-12-07 16:15:56
PNB.NS,Punjab National Bank,Financial Services,Banks - Regional,8.201483,2.38,1399673978880,123.783,127.8,85.46,121.71,2025-12-07 16:16:49
AUBANK.NS,AU Small Finance Bank Limited,Financial Services,Banks - Regional,33.002403,0.1,716125831168,245.579,966.9,489.45,960.7,2025-12-07 16:15:45
ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,34.96527,0.06,2700160008192,445.61,2695.0,2026.55,2265.4,2025-12-07 16:15:40
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,61.72834,0.28,1033739763712,632.453,8099.5,6001.0,7189.5,2025-12-07 16:15:43
BAJAJ-AUTO.NS,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,30.581482,2.31,2543435907072,1223.784,9490.0,7089.35,9109.0,2025-12-07 16:15:48
BPCL.NS,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,7.250956,4.16,1563163623424,219.838,381.55,234.01,360.3,2025-12-07 16:15:59
COFORGE.NS,Coforge Limited,Technology,Information Technology Services,60.971027,0.81,662392012800,205.667,2005.36,1194.01,1977.9,2025-12-07 16:16:04
LTIM.NS,LTIMindtree Limited,Technology,Information Technology Services,38.314457,1.06,1864628699136,789.736,6767.95,3802.0,6292.0,2025-12-07 16:16:35
LTTS.NS,L&T Technology Services Limited,Technology,Information Technology Services,37.73572,1.23,481402454016,584.067,5645.0,3951.3,4546.4,2025-12-07 16:16:37
MPHASIS.NS,Mphasis Limited,Technology,Information Technology Services,31.545446,1.93,562203262976,505.75,3237.95,2044.55,2953.6,2025-12-07 16:16:43
PERSISTENT.NS,Persistent Systems Limited,Technology,Information Technology Services,60.973442,0.54,1015241768960,459.456,6788.9,4148.95,6520.5,2025-12-07 16:16:48
TRENT.NS,Trent Limited,Consumer Cyclical,Apparel Retail,91.73466,0.12,1487389327360,171.62,7493.05,4158.0,4183.1,2025-12-07 16:17:08
