Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,,
2015-01-01,173.04220581054688,244.76666259765625,245.93333435058594,244.0,245.06666564941406,2538978
2015-01-02,173.584228515625,245.53334045410156,246.76666259765625,244.8333282470703,244.8333282470703,6599676
2015-01-05,174.26759338378906,246.5,247.86666870117188,245.03334045410156,245.8000030517578,8238987
2015-01-06,169.79017639160156,240.1666717529297,246.26666259765625,239.3333282470703,245.76666259765625,13093039
2015-01-07,166.63235473632812,235.6999969482422,242.6666717529297,235.3333282470703,238.0,11960580
2015-01-08,170.80349731445312,241.60000610351562,242.23333740234375,236.96665954589844,236.96665954589844,8449164
2015-01-09,168.21127319335938,237.93333435058594,243.89999389648438,235.39999389648438,242.06666564941406,10808512
2015-01-12,168.6589813232422,238.56666564941406,240.89999389648438,237.39999389648438,238.3000030517578,9868950
2015-01-13,169.71945190429688,240.06666564941406,241.13333129882812,238.1999969482422,238.93333435058594,11623503
2015-01-14,163.92233276367188,231.86666870117188,239.8000030517578,230.73333740234375,239.8000030517578,16224852
2015-01-15,168.6825408935547,238.60000610351562,239.93333435058594,233.93333435058594,235.39999389648438,16047717
2015-01-16,169.71945190429688,240.06666564941406,241.3000030517578,236.23333740234375,238.96665954589844,10813588
2015-01-19,169.10671997070312,239.1999969482422,241.1666717529297,237.3333282470703,240.0,6853234
2015-01-20,174.9038848876953,247.39999389648438,247.89999389648438,238.73333740234375,239.39999389648438,12014673
2015-01-21,166.23175048828125,235.13333129882812,248.63333129882812,232.8000030517578,248.63333129882812,32448214
2015-01-22,165.26556396484375,233.76666259765625,239.86666870117188,232.56666564941406,235.3333282470703,29627575
2015-01-23,164.699951171875,232.96665954589844,237.3000030517578,232.53334045410156,235.63333129882812,16747498
2015-01-27,169.74301147460938,240.10000610351562,240.6666717529297,232.89999389648438,233.3333282470703,25255861
2015-01-28,170.75633239746094,241.53334045410156,242.3000030517578,238.36666870117188,240.0,12317799
2015-01-29,174.47972106933594,246.8000030517578,248.0,240.0,242.0,21093768
2015-01-30,173.70204162597656,245.6999969482422,248.0,242.43333435058594,246.6666717529297,13917157
2015-02-02,169.97866821289062,240.43333435058594,246.13333129882812,239.60000610351562,244.6666717529297,8493861
2015-02-03,172.5237579345703,244.03334045410156,244.6666717529297,240.96665954589844,240.96665954589844,6298908
2015-02-04,173.25428771972656,245.06666564941406,247.0,243.56666564941406,245.0,5807209
2015-02-05,173.86700439453125,245.93333435058594,248.06666564941406,242.46665954589844,243.93333435058594,9478186
2015-02-06,176.0350341796875,249.0,249.60000610351562,244.06666564941406,244.06666564941406,7324875
2015-02-09,173.39569091796875,245.26666259765625,249.23333740234375,244.46665954589844,247.43333435058594,7188007
2015-02-10,174.3383331298828,246.60000610351562,248.0,244.60000610351562,245.39999389648438,8011749
2015-02-11,174.9274444580078,247.43333435058594,248.60000610351562,245.23333740234375,247.36666870117188,4545472
2015-02-12,174.57395935058594,246.93333435058594,248.0,243.10000610351562,248.0,5294224
2015-02-13,178.17950439453125,252.03334045410156,252.8333282470703,246.6999969482422,247.46665954589844,9026029
2015-02-16,183.6231689453125,259.73333740234375,260.6666564941406,252.0,252.26666259765625,11606473
2015-02-18,185.34349060058594,262.1666564941406,268.0,256.6666564941406,256.6666564941406,13669321
2015-02-19,183.45819091796875,259.5,262.4666748046875,255.73333740234375,261.9666748046875,6980185
2015-02-20,186.6630859375,264.0333251953125,265.26666259765625,256.23333740234375,258.3333435058594,8931408
2015-02-23,183.9295196533203,260.1666564941406,265.8666687011719,259.5,263.3333435058594,5852227
2015-02-24,186.49815368652344,263.79998779296875,265.3333435058594,259.1000061035156,261.3333435058594,8238781
2015-02-25,188.38340759277344,266.4666748046875,266.6666564941406,262.29998779296875,265.0666809082031,15751801
2015-02-26,186.47457885742188,263.76666259765625,267.6000061035156,261.29998779296875,265.26666259765625,11702547
2015-02-27,185.55555725097656,262.4666748046875,264.4333190917969,256.0333251953125,263.20001220703125,34417138
2015-03-02,161.77786254882812,228.8333282470703,238.6666717529297,228.0,238.6666717529297,50722677
2015-03-03,160.97659301757812,227.6999969482422,230.3333282470703,226.0,229.0,44994019
2015-03-04,162.24916076660156,229.5,233.86666870117188,228.60000610351562,230.0,32171962
2015-03-05,163.19180297851562,230.8333282470703,232.73333740234375,227.8000030517578,231.3333282470703,20499397
2015-03-09,159.46841430664062,225.56666564941406,229.93333435058594,224.8333282470703,229.13333129882812,16301916
